epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.8929,0.80618,2.19688,1.01066,0.83769,0.84134,0.87619,0.73372,0.60966,0.78038,0.86893,0.00332883,0.00332883,0.00332883
2,128.015,0.73388,1.12156,0.96474,0.89651,0.90736,0.96043,0.80302,0.60787,0.64249,0.87864,0.00659621,0.00659621,0.00659621
3,188.535,0.78067,0.91102,0.98999,0.87865,0.81116,0.8843,0.72209,0.67894,0.77911,0.91915,0.00979758,0.00979758,0.00979758
4,248.478,0.7874,0.78656,0.99753,0.93522,0.90972,0.96106,0.79668,0.66284,0.57484,0.91261,0.009703,0.009703,0.009703
5,308.752,0.74426,0.67151,0.98866,0.94107,0.94197,0.97907,0.84609,0.57262,0.44311,0.88095,0.009604,0.009604,0.009604
6,368.945,0.71446,0.61084,0.98067,0.95661,0.95587,0.98312,0.85844,0.54612,0.3945,0.8765,0.009505,0.009505,0.009505
7,428.944,0.68944,0.57313,0.97483,0.94368,0.95026,0.98272,0.87046,0.53079,0.38919,0.86889,0.009406,0.009406,0.009406
8,488.58,0.67274,0.54263,0.96954,0.95968,0.94349,0.98114,0.86202,0.54316,0.38944,0.87743,0.009307,0.009307,0.009307
9,548.269,0.65973,0.52032,0.96715,0.95178,0.96012,0.98557,0.87655,0.52694,0.35678,0.86457,0.009208,0.009208,0.009208
10,607.925,0.64426,0.4977,0.95851,0.96501,0.96929,0.98796,0.88096,0.51719,0.33812,0.87609,0.009109,0.009109,0.009109
11,667.216,0.63595,0.48611,0.95591,0.96239,0.97028,0.98866,0.88742,0.50003,0.33162,0.85564,0.00901,0.00901,0.00901
12,727.477,0.62709,0.47521,0.95269,0.96866,0.95372,0.9865,0.88769,0.50273,0.33994,0.85776,0.008911,0.008911,0.008911
13,787.349,0.61971,0.46522,0.94613,0.96763,0.9738,0.98954,0.89463,0.48891,0.31515,0.85284,0.008812,0.008812,0.008812
14,848.586,0.60961,0.45487,0.94706,0.96761,0.97389,0.98983,0.89553,0.48531,0.3057,0.86269,0.008713,0.008713,0.008713
15,913.51,0.6034,0.45205,0.94601,0.97006,0.9663,0.98806,0.89195,0.48686,0.31196,0.85423,0.008614,0.008614,0.008614
16,976.551,0.59976,0.43904,0.94492,0.97622,0.97342,0.99055,0.90299,0.47281,0.29909,0.86185,0.008515,0.008515,0.008515
17,1038.84,0.5935,0.43277,0.9441,0.96424,0.97513,0.99027,0.89935,0.47746,0.29792,0.86129,0.008416,0.008416,0.008416
18,1104.21,0.58231,0.42981,0.93806,0.97379,0.97653,0.99149,0.9032,0.4617,0.28603,0.84671,0.008317,0.008317,0.008317
19,1167.11,0.58217,0.41659,0.93826,0.97255,0.97492,0.99033,0.90635,0.45749,0.28485,0.85408,0.008218,0.008218,0.008218
20,1229.48,0.57579,0.41215,0.93818,0.97782,0.97262,0.99103,0.90759,0.45641,0.27454,0.84966,0.008119,0.008119,0.008119
21,1300.69,0.57585,0.41376,0.93399,0.97479,0.97495,0.99111,0.91047,0.45261,0.27318,0.84346,0.00802,0.00802,0.00802
22,1375.91,0.57298,0.40449,0.93183,0.97453,0.97356,0.99066,0.91179,0.44941,0.27133,0.84971,0.007921,0.007921,0.007921
23,1448.01,0.56033,0.39801,0.92853,0.97652,0.975,0.99204,0.91629,0.44213,0.26072,0.83818,0.007822,0.007822,0.007822
24,1524.22,0.56479,0.39443,0.92779,0.97581,0.97709,0.99171,0.91847,0.43646,0.2588,0.8399,0.007723,0.007723,0.007723
25,1601.12,0.5626,0.3952,0.92754,0.97735,0.97533,0.99184,0.91617,0.4356,0.26251,0.84773,0.007624,0.007624,0.007624
26,1678.42,0.55292,0.3873,0.92378,0.98011,0.97561,0.99128,0.91887,0.43524,0.26248,0.84298,0.007525,0.007525,0.007525
27,1755.42,0.5552,0.38802,0.92732,0.97576,0.97142,0.99072,0.9174,0.43035,0.26089,0.8346,0.007426,0.007426,0.007426
28,1832.97,0.54593,0.37972,0.92139,0.97242,0.979,0.99177,0.92242,0.42743,0.255,0.84385,0.007327,0.007327,0.007327
29,1911.81,0.54344,0.37718,0.92459,0.981,0.97592,0.99236,0.92376,0.42475,0.2463,0.83609,0.007228,0.007228,0.007228
30,1986.56,0.54263,0.37727,0.92103,0.97749,0.97725,0.99232,0.92178,0.42982,0.24854,0.84595,0.007129,0.007129,0.007129
31,2062.31,0.53859,0.37292,0.91808,0.9825,0.97731,0.99255,0.92194,0.42469,0.24174,0.8369,0.00703,0.00703,0.00703
32,2138.53,0.53219,0.37223,0.91681,0.98296,0.974,0.99293,0.92194,0.42154,0.23905,0.83123,0.006931,0.006931,0.006931
33,2214.69,0.53326,0.36422,0.92338,0.97812,0.97212,0.99107,0.92152,0.42103,0.2439,0.83875,0.006832,0.006832,0.006832
34,2290.52,0.53028,0.36491,0.92007,0.98012,0.9773,0.99262,0.92576,0.41329,0.23554,0.83626,0.006733,0.006733,0.006733
35,2366.64,0.52666,0.36069,0.91553,0.97596,0.98232,0.99227,0.92798,0.41373,0.23641,0.83269,0.006634,0.006634,0.006634
36,2442.96,0.52291,0.35572,0.91674,0.98198,0.97916,0.99259,0.92754,0.40969,0.23259,0.83889,0.006535,0.006535,0.006535
37,2519.23,0.52034,0.35825,0.91716,0.97921,0.98163,0.99295,0.92883,0.40813,0.22887,0.83561,0.006436,0.006436,0.006436
38,2594.96,0.52269,0.3511,0.91769,0.98312,0.97927,0.99298,0.92829,0.41029,0.22934,0.8359,0.006337,0.006337,0.006337
39,2670.37,0.5213,0.35384,0.91422,0.98585,0.97967,0.99287,0.93083,0.40975,0.22659,0.83402,0.006238,0.006238,0.006238
40,2745.99,0.51531,0.34763,0.91624,0.98422,0.97845,0.99275,0.92874,0.40901,0.23122,0.84044,0.006139,0.006139,0.006139
41,2821.79,0.51157,0.33867,0.91069,0.9787,0.98275,0.99256,0.93171,0.40259,0.22377,0.83387,0.00604,0.00604,0.00604
42,2897.8,0.51327,0.34541,0.91263,0.98278,0.97922,0.99275,0.93083,0.40452,0.22363,0.83324,0.005941,0.005941,0.005941
43,2973.25,0.50998,0.34189,0.90773,0.98317,0.97943,0.99288,0.93361,0.40045,0.22047,0.82844,0.005842,0.005842,0.005842
44,3049.19,0.50835,0.34081,0.90802,0.9785,0.98017,0.99304,0.93243,0.3983,0.22052,0.83047,0.005743,0.005743,0.005743
45,3124.86,0.50178,0.33158,0.90755,0.97861,0.98177,0.99294,0.93426,0.39977,0.21943,0.83118,0.005644,0.005644,0.005644
46,3201.05,0.50674,0.33696,0.90777,0.98379,0.98153,0.99301,0.93513,0.39886,0.21581,0.83182,0.005545,0.005545,0.005545
47,3276.67,0.50137,0.33212,0.9055,0.98131,0.98144,0.9931,0.93416,0.40174,0.21726,0.83291,0.005446,0.005446,0.005446
48,3352.49,0.49911,0.32927,0.90474,0.98371,0.98041,0.99281,0.9364,0.39364,0.21369,0.82498,0.005347,0.005347,0.005347
49,3427.9,0.49702,0.32984,0.90427,0.98301,0.98188,0.99329,0.93735,0.39329,0.21229,0.8232,0.005248,0.005248,0.005248
50,3503.73,0.49274,0.32605,0.90217,0.98116,0.98108,0.99338,0.93714,0.38971,0.21207,0.82344,0.005149,0.005149,0.005149
51,3580.15,0.48986,0.32618,0.9023,0.98313,0.97933,0.99316,0.93823,0.38921,0.21113,0.825,0.00505,0.00505,0.00505
52,3656.38,0.48881,0.3214,0.89936,0.98313,0.98118,0.99312,0.93782,0.38814,0.21035,0.82455,0.004951,0.004951,0.004951
53,3732.75,0.4878,0.32168,0.90054,0.98447,0.98021,0.99319,0.9367,0.38849,0.20808,0.82332,0.004852,0.004852,0.004852
54,3808.72,0.48419,0.32076,0.89986,0.98112,0.98539,0.99301,0.93579,0.39075,0.21006,0.82641,0.004753,0.004753,0.004753
55,3884.57,0.47998,0.31435,0.89877,0.98424,0.98246,0.99305,0.93789,0.38749,0.20754,0.82556,0.004654,0.004654,0.004654
56,3960.6,0.47994,0.31296,0.89547,0.9857,0.98377,0.9932,0.93858,0.38685,0.20634,0.82341,0.004555,0.004555,0.004555
57,4036.07,0.47773,0.31213,0.89788,0.98726,0.97953,0.99324,0.93917,0.38528,0.2058,0.82454,0.004456,0.004456,0.004456
58,4115.43,0.48173,0.31353,0.89854,0.9824,0.98288,0.99343,0.93822,0.38881,0.20624,0.82486,0.004357,0.004357,0.004357
59,4193.8,0.47317,0.30712,0.89203,0.98237,0.98479,0.99354,0.9386,0.38806,0.20335,0.8228,0.004258,0.004258,0.004258
60,4270.98,0.47328,0.30601,0.89419,0.98365,0.98396,0.99349,0.93935,0.38763,0.20421,0.82247,0.004159,0.004159,0.004159
61,4348.19,0.47459,0.30518,0.89568,0.98265,0.98487,0.99341,0.93908,0.38727,0.20349,0.82287,0.00406,0.00406,0.00406
62,4425.67,0.47061,0.30751,0.89552,0.98089,0.98519,0.99343,0.93976,0.38623,0.20299,0.82375,0.003961,0.003961,0.003961
63,4502.13,0.46767,0.30376,0.89523,0.98174,0.98399,0.99337,0.94053,0.38521,0.20207,0.82331,0.003862,0.003862,0.003862
64,4577.84,0.46398,0.29857,0.88888,0.97918,0.98488,0.99338,0.94011,0.38491,0.20196,0.822,0.003763,0.003763,0.003763
65,4653.14,0.46041,0.29403,0.88936,0.97928,0.98563,0.99334,0.94031,0.38444,0.20092,0.82128,0.003664,0.003664,0.003664
66,4728.13,0.4585,0.29458,0.88783,0.98095,0.98371,0.9934,0.94082,0.384,0.19993,0.82012,0.003565,0.003565,0.003565
67,4803.27,0.45611,0.29095,0.88956,0.98115,0.98372,0.9935,0.9403,0.38352,0.19964,0.82117,0.003466,0.003466,0.003466
68,4878.73,0.45576,0.29058,0.88968,0.98244,0.98185,0.99348,0.94112,0.38261,0.19904,0.821,0.003367,0.003367,0.003367
69,4953.53,0.45532,0.2903,0.88946,0.98375,0.98169,0.99351,0.94105,0.38213,0.198,0.82143,0.003268,0.003268,0.003268
70,5028.46,0.45155,0.28751,0.88827,0.98421,0.97982,0.99345,0.94108,0.38169,0.19878,0.82206,0.003169,0.003169,0.003169
71,5103.53,0.44975,0.28487,0.88911,0.98367,0.97965,0.99344,0.94084,0.38162,0.19969,0.82301,0.00307,0.00307,0.00307
72,5178.92,0.44964,0.28774,0.88984,0.9831,0.98068,0.99338,0.941,0.38109,0.19914,0.82374,0.002971,0.002971,0.002971
73,5254.19,0.44595,0.2834,0.88756,0.9848,0.97889,0.99346,0.94157,0.38043,0.19838,0.82463,0.002872,0.002872,0.002872
74,5329.07,0.44626,0.28281,0.88561,0.98631,0.97829,0.99349,0.94128,0.38016,0.19743,0.82454,0.002773,0.002773,0.002773
75,5404.3,0.4404,0.27749,0.88201,0.98467,0.97891,0.99345,0.94199,0.37972,0.19774,0.82409,0.002674,0.002674,0.002674
76,5479.45,0.44062,0.27516,0.87965,0.97985,0.98452,0.99352,0.9422,0.37911,0.19815,0.82322,0.002575,0.002575,0.002575
77,5554.22,0.43638,0.27369,0.88047,0.98066,0.98379,0.9935,0.94248,0.37896,0.19798,0.82248,0.002476,0.002476,0.002476
78,5630.77,0.43154,0.26879,0.87797,0.98243,0.98127,0.99345,0.94252,0.37876,0.19815,0.82201,0.002377,0.002377,0.002377
79,5706.36,0.42977,0.2671,0.87943,0.98266,0.9814,0.99339,0.94276,0.37863,0.19766,0.82163,0.002278,0.002278,0.002278
80,5782.16,0.43092,0.26737,0.87828,0.98156,0.9823,0.99336,0.94288,0.37829,0.19819,0.82139,0.002179,0.002179,0.002179
81,5858,0.42726,0.26459,0.88091,0.98137,0.98334,0.99337,0.9432,0.37804,0.19769,0.8212,0.00208,0.00208,0.00208
82,5932.9,0.42826,0.26212,0.87711,0.98146,0.98327,0.99333,0.94318,0.37792,0.19791,0.82092,0.001981,0.001981,0.001981
83,6008.01,0.42626,0.26456,0.87819,0.98176,0.98328,0.99331,0.94313,0.37797,0.19805,0.82104,0.001882,0.001882,0.001882
84,6083.58,0.42109,0.26017,0.87677,0.98103,0.98415,0.99329,0.94316,0.37796,0.19768,0.82116,0.001783,0.001783,0.001783
85,6158.73,0.41825,0.26026,0.8747,0.98094,0.98456,0.9933,0.94327,0.37788,0.19746,0.82116,0.001684,0.001684,0.001684
86,6233.74,0.41483,0.25712,0.87325,0.98085,0.98454,0.99327,0.94322,0.37775,0.19719,0.82111,0.001585,0.001585,0.001585
87,6308.84,0.41081,0.2541,0.87405,0.98076,0.98459,0.99321,0.94349,0.37738,0.19694,0.82093,0.001486,0.001486,0.001486
88,6384,0.41585,0.25692,0.8719,0.98058,0.98489,0.99317,0.94346,0.37695,0.19688,0.82068,0.001387,0.001387,0.001387
89,6459.29,0.41161,0.25298,0.87425,0.98272,0.98268,0.99316,0.94357,0.37667,0.19691,0.82067,0.001288,0.001288,0.001288
90,6534.7,0.40864,0.25189,0.87209,0.98274,0.98393,0.99311,0.94377,0.37632,0.19639,0.82065,0.001189,0.001189,0.001189
91,6649.51,0.35684,0.20369,0.83308,0.98296,0.98344,0.99309,0.94386,0.37641,0.19696,0.82093,0.00109,0.00109,0.00109
92,6723.83,0.34785,0.19731,0.82937,0.98286,0.98354,0.99308,0.9438,0.37631,0.19707,0.82087,0.000991,0.000991,0.000991
93,6798.41,0.34784,0.19628,0.82982,0.98281,0.98376,0.99308,0.94415,0.37598,0.19703,0.82076,0.000892,0.000892,0.000892
94,6873.1,0.34255,0.19305,0.82664,0.98303,0.98386,0.99305,0.94429,0.37568,0.19723,0.82067,0.000793,0.000793,0.000793
95,6947.62,0.3393,0.19008,0.82581,0.9832,0.98388,0.99302,0.94457,0.37557,0.19659,0.8205,0.000694,0.000694,0.000694
96,7022.08,0.33292,0.18574,0.82508,0.98305,0.98398,0.99301,0.94438,0.37547,0.19647,0.82041,0.000595,0.000595,0.000595
97,7096.34,0.33151,0.18219,0.82269,0.98332,0.98391,0.99299,0.94424,0.37542,0.19609,0.82027,0.000496,0.000496,0.000496
98,7170.73,0.32682,0.18054,0.82062,0.98346,0.98392,0.99297,0.94445,0.37513,0.196,0.82004,0.000397,0.000397,0.000397
99,7244.98,0.32726,0.18096,0.82092,0.98346,0.98366,0.99295,0.94445,0.3751,0.19599,0.81996,0.000298,0.000298,0.000298
