순번,일자,항공사,기종,비행단계,탑승,사망,사고 개요
1,2023-01-01,Flair Airlines,Boeing 737 MAX 8,STD,154,,"Flair Airlines 소속 Boeing 737 MAX 8 항공기가 캐나다 Kitchener-Region of Waterloo 공항에 수화물을 싣던 중 지상조업차량과 충돌해 파손, 인명피해 없음."
2,2023-01-02,"Endeavor Air, opf Delta Connection",Bombardier CRJ-900LR,TXI,,,"Endeavor Air 소속 Bombardier CRJ-900LR 항공기가 미국 New York-JFK 공항에서 주기장 정체로 유도로에 정지 중이었으나, 착륙 후 유도로를 따라 이동 중이던 ITA항공 A330-202 기종의 윙렛과 CRJ-990LR 꼬리날개가 충돌하여 양 항공기가 손상되었으나 인명피해 없음."
3,2023-01-02,Transavia Airlines,Boeing 737-8K2 (WL),STD,,,"Transavia Airlines 소속 Boeing 737-8K2 (WL) 항공기가 네덜란드 Rotterdam/The Hague 공항에 주기 중 지상조업차량과 충돌, 인명피해 없음."
4,2023-01-02,Eagle Jet 300 LLC,Embraer EMB-505 Phenom 300,TOF,4,1,"Eagle Jet 300 LLC 소속 Embraer EMB-505 Phenom 300 항공기가 미국 Provo 공항에서 이륙 중 추락하여 전소, 조종사 1명 사망, 조종사 1명 중상 및 승객 2명은 경상을 입음."
5,2023-01-03,"Amerijet International, lst Maersk Air Cargo",Boeing 767-300F,ICL,3,,"Maersk Air Cargo 소속 Boeing 767-300F 항공기가 대한민국 인천공항에서 이륙 후 초기상승 중 엔진 고장으로 화재 발생, 인천으로 회항하여 착륙하였으며 인명피해 없음."
6,2023-01-07,JetStar Japan,Airbus A320-232 (WL),ENR,142,,"JetStar Japan 소속 Airbus A320-232 (WL) 항공기가 일본 Tokyo/Narita 공항에서 이륙하여 Fukuoka 공항으로 향하던 중 폭탄 위협을 받고 Nagoya/Chubu Centrair 공항으로 회항하여 착륙, 대피 과정에서 승객 5명이 찰과상을 입었으나 폭발물은 발견되지 않음. "
7,2023-01-09,Naryan-Mar Air Enterprise,Antonov An-2R,ENR,12,2,Naryan-Mar Air Enterprise 소속 Antonov An-2R 항공기가 심한 결빙 및 저시정 상태로 인해 러시아 Karatayka 북서쪽 10km 지점에 추락하여 탑승자 전원 사망함.
8,2023-01-13,Air Master AP,Cessna 550 Citation II,LDG,2,,"Air Master AP 소속 Cessna 550 Citation II 항공기가 베네수엘라 Charallave-Oscar Machado Zuloaga 공항에 착륙 후 역추력장치 사용 중 갑작스런 요(Yaw)가 발생하여 활주로를 이탈하였으나, 인명피해 없음."
9,2023-01-15,Yeti Airlines,ATR 72-500 (72-212A),APR,72,72,Yeti Airlines 소속 ATR 72-500 (72-212A) 항공기가 네팔 Pokhara 공항에 최종접근 중 인적오류 등의 이유로 추락하여 탑승자 전원 사망함.
10,2023-01-16,Kamaka Air,Cessna 208B Super Cargomaster,APR,2,,"Kamaka Air 소속 Cessna 208B Super Cargomaster 항공기가 미국 Molokai/Kaunakakai 공항으로 야간에 접근 중 시정이 제한되는 조건에서 선회 접근하는 과정에서 적절한 고도를 유지하지 못해 지형과 충돌, 인명피해 없음."
