0,1,2,3
급격한 인구 감소 막으려 '다자녀 혜택' 확대,"또, 자녀들과 함께 시설을 이용할 수 있도록 한옥마을과 캠핑장 사용료 할인, 공공 실내놀이터 무료 입장, 강릉시 장난감도서관 연간 이용료 전액 할인, 강릉<b>메타버스</b>체험관 50% 할인 등의 지원책도 내놨습니다. [양원희... ",https://www.mbceg.co.kr/post/122177,https://www.mbceg.co.kr/post/122177
경기북부 중심도시를 넘어 K-문화관광 메카로 발돋움 하는 양주시 [설 특...,"지난해 하반기에는 <b>메타버스</b>를 론칭하고 ‘오르: 빛’ 미디어아트 행사, 기획전 등이 예정돼 있어 더욱 풍성한 문화 향유 기회를 제공했다. 지난해 개관 10주년을 맞은 장욱진미술관은 특별기획전을 선보였으며... ",https://www.kyeonggi.com/article/20250113580136,https://n.news.naver.com/mnews/article/666/0000063165?sid=102
"경북콘텐츠기업지원센터 입주기업, 해외 시장서 두각!",특히 입주기업 중 '플로우스튜디오㈜'(대표 정아연)는 세계 최대 국제 전자제품 박람회인 'CES(Consumer Electronics Show) 2024'에서 과학실험 장치인 '플로우랩'을 통해 '웹3&amp;<b>메타버스</b>' 분야 최고 혁신상을 수상한 바 있으며... ,http://www.enewstoday.co.kr/news/articleView.html?idxno=2231024,http://www.enewstoday.co.kr/news/articleView.html?idxno=2231024
세븐틴 뮤비 2.4억뷰 찍었는데…'춤 저작권료'는 0원? 안무저작권 회사...,"실제로 무븐트는 최근 <b>메타버스</b> 플랫폼 제페토를 운영하는 네이버제트와 댄스 IP 상품 개발 및 판매 관련 계약을 맺기도 했다. 정 대표는 “최근 엔비디아, 메타 등 빅테크 기업에서도 ‘움직임’과 관련된 전문 AI 기술... ",https://www.sedaily.com/NewsView/2GNVRDVRKW,https://n.news.naver.com/mnews/article/011/0004444823?sid=103
“리나·애나 어디 갔니”...가상 모델·가수 활동 시들해진 이유는,"실패 <b>메타버스</b> 열기 식고 시너지도 불명확 관련 기술 게임 AI 캐릭터에 활용 극사실적인 그래픽과 인공지능... 가상 인간과 함께 부상했던 <b>메타버스</b> 열기가 식으며 가상 인간 또한 힘이 빠졌고, 게임사들도 시너지를 만들... ",https://www.mk.co.kr/article/11228274,https://n.news.naver.com/mnews/article/009/0005435653?sid=105
경북콘텐츠기업지원센터 입주기업들 성장세 가시화,입주기업 가운데 플로우스튜디오㈜(대표 정아연)는 세계 최대 국제 전자제품 박람회 CES(Consumer Electronics Show) 2024에서 과학실험 장치인 '플로우랩'을 통해 '웹3&amp;<b>메타버스</b>' 분야 최고 혁신상을 수상한 바 있으며... ,https://www.newsis.com/view/NISX20250129_0003047530,https://n.news.naver.com/mnews/article/003/0013038450?sid=102
[김종진 교수의 사회적경제 창업]-⑨ 글로벌 사회적경제 창업 트렌드와...,"AI와 빅데이터를 활용한 사회문제 해결, 블록체인 기반 임팩트 측정, <b>메타버스</b>를 활용한 새로운 사회적경제 모델 등 기술의 발전은 더 많은 가능성을 열어줄 것입니다. 특히 MZ세대의 가치소비 확산과 기업의 ESG 경영... ",https://www.eroun.net/news/articleView.html?idxno=52321,https://www.eroun.net/news/articleView.html?idxno=52321
"'에스파 여동생' 하츠투하츠, SM 걸그룹 왕조 신무기 될까[★FOCUS]",4세대 걸그룹 판도에서 역시나 더 멀리 바라보고 있던 이수만 전 총괄이 AI와 <b>메타버스</b>를 외치며 만들었던 에스파는 오히려 SM 걸그룹 계보와는 전혀 다른 결로 느껴질 정도로 강렬하고 센 느낌을 표방했다.... ,https://www.starnewskorea.com/stview.php?no=2025012414371197912,https://m.entertain.naver.com/article/108/0003299425
AI·<b>메타버스</b> 투자 한번에…'KB 글로벌 AI<b>메타버스</b>테크 펀드',최근 인공지능(AI)의 발전과 더불어 <b>메타버스</b>(Metaverse) 구현 기술이 진화하면서 관련 투자 상품들이... 과거 <b>메타버스</b> 기술과 관련해 게임과 같은 특정 분야에만 관심이 집중됐던 것과 달리 최근 고속 향상된 AI... ,https://www.pinpointnews.co.kr/news/articleView.html?idxno=314785,https://www.pinpointnews.co.kr/news/articleView.html?idxno=314785
중후장대의 이미지 변신② ‘무거운데 재밌다’,건설업계는 3차원 <b>메타버스</b> 공간을 기반으로 한 마이크로소프트(MS)의 ‘마인크래프트’를 활용한 체험 마케팅에 적극적이다. 한국토지주택공사(LH)는 최근 마인크래프트 유튜버에게 의뢰해 수도권 3기 신도시 중 한... ,http://theviewers.co.kr/View.aspx?No=3523362,http://theviewers.co.kr/View.aspx?No=3523362
국내 미술품 경매 반복 판매 데이터는 어떻게 이용될까 [홍기훈·류지예...,"홍기훈 교수(PhD, CFA, FRM)는 홍익대 경영대 재무전공 교수, <b>메타버스</b>금융랩 소장으로 재직 중이다. 학계에... 홍익대학교 <b>메타버스</b>금융랩 연구위원을 겸하고 있다. 주 연구주제는 미술시장, 예술품 거래데이터분석이며... ",https://it.chosun.com/news/articleView.html?idxno=2023092132933,https://it.chosun.com/news/articleView.html?idxno=2023092132933
"대구시, 올해 ABB산업 집중 육성…&quot;AI 중심도시 도약한다&quot;",가상융합 분야의 경우 가상융합산업진흥법의 시행(2024년 8월)에 따라 지원체계를 지역 거점센터로 일원화(<b>메타버스</b>허브+<b>메타버스</b>지원센터)하고 지식재산 특화서비스를 개발해 전문기업 육성 및 제조·의료 등 지역... ,https://ilyo.co.kr/?ac=article_view&entry_id=486320,https://ilyo.co.kr/?ac=article_view&entry_id=486320
"대구시, 지역 ABB 미래산업 육성 적극 추진",가상융합 분야는 가상융합산업진흥법의 시행(2024.8월)에 따라 지원체계를 지역 거점센터로 일원화(<b>메타버스</b>허브+<b>메타버스</b>지원센터)하고 지식재산 특화서비스를 개발해 전문기업 육성 및 제조·의료 등 지역... ,https://tk.newdaily.co.kr/site/data/html/2025/01/28/2025012800029.html,https://tk.newdaily.co.kr/site/data/html/2025/01/28/2025012800029.html
"강남구, ‘새롭고 혁신적인 환경교육 프로그램 아이디어’ 2월19일까지...","작년 공모전에서는 <b>메타버스</b> 환경에서의 환경학습, 틴커캐드(Tinkercad) 3D 프로그램을 활용한 친환경 건축물 설계, 햄스터 코딩 로봇을 이용한 탄소발자국 알아보기 등 다채로운 아이디어가 제시돼 큰 호응을 얻었다.... ",https://www.siminilbo.co.kr/news/newsview.php?ncode=1160290901630781,https://www.siminilbo.co.kr/news/newsview.php?ncode=1160290901630781
"전남대병원, 한국형 ARPA-H 프로젝트 주관 연구개발기관 선정","네트워크 <b>메타버스</b>를 구축할 예정이다. 이에 따라 응급의료 자원을 효율적으로 활용할 수 있도록 정보를 제공하고, 응급환자 발생시 AI를 활용해 환자 상태를 정확히 평가, <b>메타버스</b> 내 최적의 병원을 선정하고... ",http://www.namdonews.com/news/articleView.html?idxno=807565,http://www.namdonews.com/news/articleView.html?idxno=807565
