0,1,2,3
Verses Inc. Showcases Metaverse-Based Interactive Music World Technology ...,"At CES 2025, Verses unveiled &quot;Aespa World,&quot; an interactive music world created in collaboration with SM Entertainment's girl group Aespa and utilizing Naver's metaverse platform, <b>ZEPETO</b>. Aespa... ",https://us.aving.net/news/articleView.html?idxno=51856,https://us.aving.net/news/articleView.html?idxno=51856
"버시스, CES 2025서 메타버스 기반 인터랙티브 뮤직 월드 제작 기술 알려...","이는 버시스와 SM엔터테인먼트의 대표 걸그룹인 에스파(Aespa)가 협력하고, 네이버의 메타버스 플랫폼인 '제페토(<b>ZEPETO</b>)'를 활용해 구축한 '인터랙티브 뮤직 월드(Interactive Music World)'로 소개됐다. 에스파 월드의... ",https://kr.aving.net/news/articleView.html?idxno=1796759,https://kr.aving.net/news/articleView.html?idxno=1796759
"식어버린 메타버스 열풍, 국내 IT 대기업 줄줄이 사업 철수","Along with Naver’s <b>Zepeto</b>, ifland was touted as one of the mainstream metaverse platforms that made consistent efforts to lock in users to their services, until very recently attempting to lure them in with K-pop-related... ",https://koreajoongangdaily.joins.com/news/2025-01-02/business/industry/식어버린-메타버스-열풍-국내-IT-대기업-줄줄이-사업-철수/2210315,https://n.news.naver.com/mnews/article/640/0000063762?sid=101
"네이버제트 `제페토`, 日 애니메이션 `최애의 아이`와 컬래버",이 외에도 오는 1월 5일까지 진행되는 코디 포스팅 캠페인에서는 #<b>ZEPETO</b>×OSHINOKO 해시태그와 함께 직접 본인이 만든 '최애의 아이' 캐릭터 코디 이미지를 제페토 피드에 올린 이용자를 추첨해 젬을 제공한다. 네이버제트... ,https://www.dt.co.kr/contents.html?article_no=2024122902109931065002&ref=naver,https://n.news.naver.com/mnews/article/029/0002925746?sid=105
"제페토, 인기 일본 애니메이션 '최애의 아이'와 협업",그 외에도 1월 5일까지 진행되는 코디 포스팅 캠페인을 통해서는 #<b>ZEPETO</b>×OSHINOKO 해시태그와 함께 직접 본인이 만든 최애의 아이 캐릭터 코디 이미지를 제페토 피드에 올린 사용자들을 대상으로 추첨을 통해 ZEM을... ,https://www.ajunews.com/view/20241227151450686,https://www.ajunews.com/view/20241227151450686
"[27일 IT 소식] 플루닛 스튜디오, 'AI 가상인간 영상' 생성 10만 돌파 外...",아울러 내년 1월 5일까지 진행되는 코디 포스팅 캠페인에서는 #<b>ZEPETO</b>×OSHINOKO 해시태그와 함께 직접 본인이 만든 ‘최애의 아이’ 캐릭터 코디 이미지를 제페토 피드에 올린 사용자들을 대상으로 추첨을 통해 젬을... ,https://www.viva100.com/article/20241227500581,https://www.viva100.com/article/20241227500581
"제페토, 인기 애니메이션 '최애의 아이'와 협업",그 외에도 다음 달 5일까지 진행되는 코디 포스팅 캠페인을 통해서는 #<b>ZEPETO</b>×OSHINOKO 해시태그와 함께 직접 만든 최애의 아이 캐릭터 코디 이미지를 제페토 피드에 올린 사용자를 대상으로 한 이벤트도 마련했다.... ,https://view.asiae.co.kr/article/2024122714182102375,https://n.news.naver.com/mnews/article/277/0005524319?sid=105
"제페토, 日 '최애의 아이' IP 접목한 콘텐츠 선봬",또한 1월 5일까지 진행되는 코디 포스팅 캠페인을 통해서는 #<b>ZEPETO</b>×OSHINOKO 해시태그와 함께 직접 본인이 만든 '최애의 아이' 캐릭터 코디 이미지를 제페토 피드에 올린 사용자들을 대상으로 추첨을 통해 ZEM을 제공하는... ,https://zdnet.co.kr/view/?no=20241227135329,https://n.news.naver.com/mnews/article/092/0002357897?sid=105
"[데일리 IT 단신] SKT, 30만원대 어린이용 스마트폰 ‘ZEM폰 포켓몬에디...",이 외에도 1월 5일까지 진행되는 코디 포스팅 캠페인을 통해서는 #<b>ZEPETO</b>×OSHINOKO 해시태그와 함께 직접 본인이 만든 최애의 아이 캐릭터 코디 이미지를 제페토 피드에 올린 사용자들을 대상으로 추첨을 통해 ZEM을... ,https://biz.newdaily.co.kr/site/data/html/2024/12/27/2024122700119.html,https://biz.newdaily.co.kr/site/data/html/2024/12/27/2024122700119.html
"제페토, 인기 일본 애니메이션 '최애의 아이'와 협업 … 사용자 참여형...",그 외에도 1월 5일까지 진행되는 코디 포스팅 캠페인을 통해서는 #<b>ZEPETO</b>×OSHINOKO 해시태그와 함께 직접 본인이 만든 &lt;최애의 아이&gt; 캐릭터 코디 이미지를 제페토 피드에 올린 사용자들을 대상으로 추첨을 통해 ZEM을... ,http://www.worktoday.co.kr/news/articleView.html?idxno=62298,http://www.worktoday.co.kr/news/articleView.html?idxno=62298
"네이버제트 '제페토', 日애니 '최애의 아이'와 콜라보레이션 진행","그 외에도, 내년 1월 5일까지 진행되는 코디 포스팅 캠페인을 통해서는 #<b>ZEPETO</b>×OSHINOKO 해시태그와 함께 직접 자신이 만든 '최애의 아이' 캐릭터 코디 이미지를 제페토 피드에 올린 사용자들을 대상으로 추첨을 통해 ZEM을... ",http://www.efnews.co.kr/news/articleView.html?idxno=116892,http://www.efnews.co.kr/news/articleView.html?idxno=116892
"제페토, 일본 애니 '최애의 아이'와 컬래버 이벤트 선봬",그 외에도 1월 5일까지 진행되는 코디 포스팅 캠페인을 통해서는 #<b>ZEPETO</b>×OSHINOKO 해시태그와 함께 직접 본인이 만든 '최애의 아이' 캐릭터 코디 이미지를 제페토 피드에 올린 사용자들을 대상으로 추첨을 통해 ZEM을... ,https://www.thedailypost.kr/news/articleView.html?idxno=108188,https://www.thedailypost.kr/news/articleView.html?idxno=108188
