순번,일자,항공사,기종,비행단계,탑승,사망,사고 개요
1,2021-01-02,Brasil Vida Taxi Aereo,Learjet 31A,LDG,4,0,"Brasil Vida Taxi Aereo 소속 Learjet 31A 항공기가 브라질 Diamantina - Juscelino Kubitschek 공항에 착륙 중 활주로를 이탈하였으나, 인명피해 없음."
2,2021-01-09,SX Transport LLC,Cessna 560 Citation V,ENR,0,0,SX Transport LLC 소속 Cessna 560 Citation V 항공기가 미국 오리건주 SE of Pine Grove 지점 23 km 상공에서 추락함. 탑승자 확인불가 및 생존자 없음.
3,2021-01-09,Sriwijaya Air,Boeing 737-524 (WL),ENR,62,62,Sriwijaya Air 소속 Boeing 737-524 항공기가 자카르타 Jakarta-Soekarno-Hatta International 공항을 이륙한 직후 바다에 추락하여 탑승자 62명 전원 사망함.
4,2021-01-12,Kenya Air Force - KAF,Harbin Y-12-II,UNK,4,4,Kenya Air Force  KAF 소속 Harbin Y-12-II 항공기가 케냐 인근 이스트 국립공원 언덕에 추락하여 탑승자 4명 전원 사망함.
5,2021-01-19,West Atlantic (UK),Boeing 737-4Q8 (SF),LDG,2,0,"West Atlantic 소속 Boeing 737-4Q8 화물기가 영국 Exeter 공항에 착륙중 비상구 바로 뒤 날개쪽이 파손되었으나, 인명피해 없음."
6,2021-01-19,Jota Aviation,Avro RJ85,PBT,5,0,"Jota Aviation 소속 Avro RJ85 항공기가 영국 London-Biggin Hill 공항 활주로에서 견인차량과 충돌하였으나, 인명피해 없음."
7,2021-01-23,Global Avionics LLC,Canadair CL-600 Challenger 600,TOF,2,0,"Global Avionics LLC 소속 Canadair CL-600 Challenger 600 항공기가 멕시코 Los Mochis-Federal 공항에서 활주로를 이탈하여, 조종사 2명중 1명이 가벼운 부상을 당함."
8,2021-01-23,Aviacion Ejecutiva del Bajio,North American Rockwell Sabreliner 60,LDG,2,0,"Aviacion Ejecutiva del Bajio 소속 North American Rockwell Sabreliner 60 항공기가 자메이카 Rocky Point, Clarendon 지역에 충돌하고 조종사 2명은 현장에서 도망침. 이 항공기는 마약수송에 사용됐을 것으로 추정됨."
9,2021-01-26,Zambian Air Force,Harbin Yunshuji Y-12E,LDG,5,0,Zambian Air Force 소속 Harbin Yunshuji Y-12E 군용기가 Mukinge Mission Airstrip 착륙 중 미끄러져 기체가 심하게 손상되고 2명이 부상을 입음.
10,2021-01-28,MM-Air LLC,Beechcraft B300 King Air 350,LDG,2,0,"MM-Air LLC 소속 Beechcraft B300 King Air 350 항공기가 미국 Davenport 공항 착륙 중 활주로를 이탈하여 우측 엔진이 분리되었으나, 인명피해 없음."
11,2021-02-01,Nippon Cargo Airlines,Boeing 747-8KZF,LDG,2,0,"Nippon Cargo Airlines 소속 Boeing 747-8KZF 항공기가 일본 Tokyo-Narita 공항 착륙 중 기체의 꼬리부분이 활주로에 부딪혔으나, 인명피해 없음."
12,2021-02-08,Luxwing,Embraer EMB-500 Phenom 100,LDG,3,0,"Luxwing 소속 Embraer EMB-500 Phenom 100 항공기가 프랑스 Paris-Le Bourget 공항 활주로 착륙 전 기체가 멈추고 메인 기어가 파손되어 화재가 발생하였으나, 인명피해 없음."
