연도,총 출고량,탁주,약주,청주,맥주,과실주,증류식소주,희석식소주,위스키,브랜디,일반증류주,리큐르,기타주류
2005,3315880,166319,45033,22023,1837655,39412,426,929414,32705,1377,9254,6575,2679
2006,3470041,170165,42873,20638,1880049,45046,473,959061,31513,1491,9331,11432,3562
2007,3598863,172370,33288,20312,1982697,61127,614,963064,34741,1626,10324,6733,3902
2008,3714296,176398,27374,19296,2058550,56015,605,1004099,31059,1350,10434,7241,4521
2009,3333048,260701,22116,20813,2002517,45972,794,929926,25767,1215,13493,5606,4128
2010,3434305,412279,18841,21267,1956826,46915,785,930608,26179,1113,9390,4779,5323
2011,3535591,458198,18975,22329,2022215,46384,706,923028,23371,927,10525,4621,4312
2012,3634218,448047,16544,23860,2103654,46505,693,950962,20428,704,11790,6547,4484
2013,3628039,426216,14538,25326,2156597,52091,805,905919,18488,744,15214,6806,5295
2014,3701462,430896,12320,23291,2173472,53664,861,957818,17991,998,16832,6844,6475
2015,3757786,416046,11332,22249,2208808,61905,1045,955523,17402,642,19226,36316,7292
2016,3709324,399673,11584,23002,2217762,56722,1307,934869,16845,737,15460,18856,12507
2017,3681733,409407,10949,24849,2168596,51737,1964,948110,15989,607,14409,10246,24870
2018,3641308,402596,11562,25568,2145118,56332,1769,920082,14194,558,14162,9711,39656
2019,3550527,370527,11301,21874,2088837,64539,1802,917711,11911,543,13673,9020,38789
2020,3304754,379992,9538,20503,1856393,80003,2001,876520,9918,570,12902,7224,49189
2021,3230916,363135,11370,21341,1807620,113762,2567,827627,10720,648,12509,8291,51326
